Exporter M.49,Exporter ISO3,Exporter,Exporter region,Importer M.49,Importer ISO3,Importer,Importer region,Resource,HS 1996,Year,Value (1000USD),Weight (1000kg),Quarantine code (value),Quarantine code (weight),"Export value, where quarantined","Import value, where quarantined","Export weight, where quarantined","Import weight, where quarantined",Embodied CO2 (1000kg),Embodied land (ha),Embodied blue water (m³)
12,DZA,Algeria,Northern Africa and Western Asia,276,DEU,Germany,Europe,"Coffee, not roasted, not decaffeinated",90111,2000,17,8.5,,,,,,,8.396019,1.416,
12,DZA,Algeria,Northern Africa and Western Asia,562,NER,Niger,Sub-Saharan Africa,"Coffee, roasted, not decaffeinated",90121,2000,0.216,0.15,,,,,,,0.0825,0.086,0.030000001
12,DZA,Algeria,Northern Africa and Western Asia,56,BEL,Belgium,Europe,"Coffee, not roasted, not decaffeinated",90111,2001,,,,,,18.47,,16.92,,,
12,DZA,Algeria,Northern Africa and Western Asia,251,FRA,France,Europe,"Coffee, roasted, not decaffeinated",90121,2001,29.557,12,,,,,,,6.6000004,17.356998,77.364
12,DZA,Algeria,Northern Africa and Western Asia,842,USA,United States,Northern America,"Coffee, roasted, not decaffeinated",90121,2001,30.093,12,,,,,,,6.6000004,16.244,77.364
12,DZA,Algeria,Northern Africa and Western Asia,31,AZE,Azerbaijan,Northern Africa and Western Asia,"Coffee, not roasted, decaffeinated",90112,2002,,,,,,0.012,,,,,
12,DZA,Algeria,Northern Africa and Western Asia,56,BEL,Belgium,Europe,"Coffee, not roasted, not decaffeinated",90111,2002,20.253,21.631,,,,,,,21.366388,1.232,5.256
12,DZA,Algeria,Northern Africa and Western Asia,251,FRA,France,Europe,Coffee husks & skins,90190,2002,0.091,0.026,,,,,,,0.014300001,,
12,DZA,Algeria,Northern Africa and Western Asia,251,FRA,France,Europe,"Coffee, not roasted, not decaffeinated",90111,2002,93.275375,213.381,,,,,,,210.7707,216.65596,2017.3044
12,DZA,Algeria,Northern Africa and Western Asia,251,FRA,France,Europe,"Coffee, roasted, not decaffeinated",90121,2002,1.832,0.539,,,,,,,0.29645,0.653,5.0959997
12,DZA,Algeria,Northern Africa and Western Asia,442,LUX,Luxembourg,Europe,"Coffee, roasted, not decaffeinated",90121,2002,0.239,0.075,,,,,,,0.04125,0.068,0.709
20,AND,Andorra,Europe,724,ESP,Spain,Europe,"Coffee, not roasted, not decaffeinated",90111,2000,,,,,,0.771609,,0.18,,,
20,AND,Andorra,Europe,376,ISR,Israel,Northern Africa and Western Asia,"Coffee, not roasted, not decaffeinated",90111,2001,,,,,,27,,18.982,,,
20,AND,Andorra,Europe,724,ESP,Spain,Europe,"Coffee, roasted, decaffeinated",90122,2001,2.062,0.486,,,,,,,0.2673,,
20,AND,Andorra,Europe,724,ESP,Spain,Europe,"Coffee, roasted, not decaffeinated",90121,2001,,,,,,2.057874,,0.486,,,
20,AND,Andorra,Europe,72,BWA,Botswana,Sub-Saharan Africa,"Coffee, roasted, not decaffeinated",90121,2002,,,,,,0.082,,0.001,,,
20,AND,Andorra,Europe,724,ESP,Spain,Europe,"Coffee, roasted, not decaffeinated",90121,2002,,,,,,1.620707,,0.32,,,
24,AGO,Angola,Sub-Saharan Africa,276,DEU,Germany,Europe,"Coffee, not roasted, not decaffeinated",90111,2000,11,11.8,,,,,,,11.65565,96.665,
24,AGO,Angola,Sub-Saharan Africa,381,ITA,Italy,Europe,"Coffee, not roasted, not decaffeinated",90111,2000,285.34506,237.688,,,,,,,234.78036,1956.898,
24,AGO,Angola,Sub-Saharan Africa,620,PRT,Portugal,Europe,"Coffee, not roasted, not decaffeinated",90111,2000,1575.319,948.795,,,,,,,937.18835,6785.633,187.861
24,AGO,Angola,Sub-Saharan Africa,724,ESP,Spain,Europe,"Coffee, not roasted, not decaffeinated",90111,2000,858.17035,774.963,,,,,,,765.48285,5984.158,153.443
24,AGO,Angola,Sub-Saharan Africa,100,BGR,Bulgaria,Europe,"Coffee, not roasted, not decaffeinated",90111,2001,0.546,0.06,,,,,,,0.059266016,,
24,AGO,Angola,Sub-Saharan Africa,276,DEU,Germany,Europe,"Coffee, not roasted, not decaffeinated",90111,2001,4,4.2,,,,,,,4.148621,46.104,
24,AGO,Angola,Sub-Saharan Africa,381,ITA,Italy,Europe,"Coffee, not roasted, not decaffeinated",90111,2001,68.16318,82.341,,,,,,,81.333725,908.146,
24,AGO,Angola,Sub-Saharan Africa,410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),"Coffee, roasted, not decaffeinated",90121,2001,4.77,1.55,,,,,,,0.8525,18.560999,0.307
24,AGO,Angola,Sub-Saharan Africa,516,NAM,Namibia,Sub-Saharan Africa,"Coffee, not roasted, not decaffeinated",90111,2001,0.087,0.012,,,,,,,0.011853204,,
24,AGO,Angola,Sub-Saharan Africa,620,PRT,Portugal,Europe,"Coffee, not roasted, not decaffeinated",90111,2001,620.547,590.8,,,,,,,583.5727,6037.317,116.978004
24,AGO,Angola,Sub-Saharan Africa,724,ESP,Spain,Europe,"Coffee, not roasted, not decaffeinated",90111,2001,259.75537,283.55,,,,,,,280.08133,2978.0789,56.142998
24,AGO,Angola,Sub-Saharan Africa,807,MKD,North Macedonia,Europe,"Coffee, not roasted, not decaffeinated",90111,2001,2.48284,2.272,,,,,,,2.2442067,23.888002,0.45
24,AGO,Angola,Sub-Saharan Africa,300,GRC,Greece,Europe,"Coffee, not roasted, not decaffeinated",90111,2002,1.791,1.26,,,,,,,1.2445863,11.999,0.249
24,AGO,Angola,Sub-Saharan Africa,381,ITA,Italy,Europe,"Coffee, not roasted, not decaffeinated",90111,2002,11.41897,11.988,,,,,,,11.841351,114.324,
24,AGO,Angola,Sub-Saharan Africa,410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),"Coffee, roasted, not decaffeinated",90121,2002,1.8,0.6,,,,,,,0.33,0.24700001,0.11900001
24,AGO,Angola,Sub-Saharan Africa,620,PRT,Portugal,Europe,"Coffee, not roasted, not decaffeinated",90111,2002,335.161,458.84,,,,,,,453.227,4229.249,90.85
24,AGO,Angola,Sub-Saharan Africa,620,PRT,Portugal,Europe,"Coffee, roasted, not decaffeinated",90121,2002,5.405,3.6,,,,,,,1.98,39.537,0.71299994
24,AGO,Angola,Sub-Saharan Africa,724,ESP,Spain,Europe,"Coffee, not roasted, not decaffeinated",90111,2002,69.99075,70.772,,,,,,,69.90625,647.59406,14.013001
24,AGO,Angola,Sub-Saharan Africa,752,SWE,Sweden,Europe,"Coffee, roasted, not decaffeinated",90121,2002,0.309,0.109,,,,,,,0.05995,0.098,0.021999998
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,56,BEL,Belgium,Europe,"Coffee, not roasted, not decaffeinated",90111,2000,195.101,67.897,,,,,,,67.06642,0.023,
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),"Coffee, roasted, not decaffeinated",90121,2000,0.774,0.07,,,,,,,0.0385,0.007424243,
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,826,GBR,United Kingdom,Europe,"Coffee, not roasted, decaffeinated",90112,2000,4.863,0.906,,,,,,,0.8949169,0.021000002,2.445
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,826,GBR,United Kingdom,Europe,"Coffee, not roasted, not decaffeinated",90111,2000,12.681,5.175,,,,,,,5.1116943,0.12100001,13.967
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,842,USA,United States,Northern America,"Coffee, not roasted, decaffeinated",90112,2000,0.084,0.02,,,,,,,0.01975534,0.006,0.005
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),"Coffee, roasted, not decaffeinated",90121,2001,0.15,0.02,,,,,,,0.011,,
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,480,MUS,Mauritius,Sub-Saharan Africa,Coffee husks & skins,90190,2001,,,,,,0.164,,0.038,,,
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,842,USA,United States,Northern America,"Coffee, not roasted, decaffeinated",90112,2001,34.271,17.769,,,,,,,17.55163,0.25299668,4.317867
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),"Coffee, roasted, not decaffeinated",90121,2002,0.633,0.06,,,,,,,0.033,,
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,276,DEU,Germany,Europe,"Coffee, not roasted, not decaffeinated",90111,2002,171,190.2,,,,,,,187.87328,,
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,710,ZAF,South Africa,Sub-Saharan Africa,"Coffee, roasted, decaffeinated",90122,2002,26.012,4.074,,,,,,,2.2407,,
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,710,ZAF,South Africa,Sub-Saharan Africa,"Coffee, roasted, not decaffeinated",90121,2002,35.057,6.206,,,,,,,3.4133,,
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,826,GBR,United Kingdom,Europe,"Coffee, not roasted, not decaffeinated",90111,2002,20.234,18.975,,,,,,,18.742878,,
32,ARG,Argentina,Latin America and the Caribbean,40,AUT,Austria,Europe,"Coffee, not roasted, not decaffeinated",90111,2000,850.343,529.6,,,,,,,523.1214,178.25598,6960.5327
32,ARG,Argentina,Latin America and the Caribbean,112,BLR,Belarus,Europe,"Coffee, roasted, not decaffeinated",90121,2000,2,0.058,,,,,,,0.0319,,
32,ARG,Argentina,Latin America and the Caribbean,124,CAN,Canada,Northern America,"Coffee, not roasted, not decaffeinated",90111,2000,0.346,0.107,,,,,,,0.10569107,0.077,1.406
32,ARG,Argentina,Latin America and the Caribbean,152,CHL,Chile,Latin America and the Caribbean,"Coffee, roasted, decaffeinated",90122,2000,0.808,0.12,,,,,,,0.066,0.024,0.343
32,ARG,Argentina,Latin America and the Caribbean,152,CHL,Chile,Latin America and the Caribbean,"Coffee, roasted, not decaffeinated",90121,2000,15.394054,3.0594294,,,,,,,1.6826862,0.6143534,8.740943
32,ARG,Argentina,Latin America and the Caribbean,188,CRI,Costa Rica,Latin America and the Caribbean,"Coffee, not roasted, not decaffeinated",90111,2000,0.004,0.006,,,,,,,0.005926602,,
32,ARG,Argentina,Latin America and the Caribbean,251,FRA,France,Europe,"Coffee, roasted, not decaffeinated",90121,2000,0.006,0.006,,,,,,,0.0033,0.005,0.079
32,ARG,Argentina,Latin America and the Caribbean,348,HUN,Hungary,Europe,"Coffee, roasted, not decaffeinated",90121,2000,0.016,0.001,,,,,,,0.00055,,
32,ARG,Argentina,Latin America and the Caribbean,381,ITA,Italy,Europe,"Coffee, roasted, not decaffeinated",90121,2000,3.02365,0.192,,,,,,,0.10560001,,
32,ARG,Argentina,Latin America and the Caribbean,446,MAC,"China, Macao SAR",China,"Coffee, not roasted, not decaffeinated",90111,2000,4.110691,2.4,,,,,,,2.3706408,0.44700003,
32,ARG,Argentina,Latin America and the Caribbean,702,SGP,Singapore,Eastern and South-Eastern Asia (excl. China),"Coffee, roasted, not decaffeinated",90121,2000,35.402,17.25,,,,,,,9.4875,4.588,52.716
32,ARG,Argentina,Latin America and the Caribbean,842,USA,United States,Northern America,Coffee husks & skins,90190,2000,1.866,0.3,,,,,,,0.165,,
32,ARG,Argentina,Latin America and the Caribbean,842,USA,United States,Northern America,"Coffee, not roasted, not decaffeinated",90111,2000,21.394905,11.6027775,,,,,,,11.46084,6.4426193,152.49548
32,ARG,Argentina,Latin America and the Caribbean,842,USA,United States,Northern America,"Coffee, roasted, not decaffeinated",90121,2000,7.463724,1.5527093,,,,,,,0.85399014,1.0260526,20.407307
32,ARG,Argentina,Latin America and the Caribbean,858,URY,Uruguay,Latin America and the Caribbean,"Coffee, roasted, decaffeinated",90122,2000,4.990221,0.46353316,,,,,,,0.25494325,0.12199935,1.4159925
32,ARG,Argentina,Latin America and the Caribbean,858,URY,Uruguay,Latin America and the Caribbean,"Coffee, roasted, not decaffeinated",90121,2000,208.41568,43.446014,,,,,,,23.895308,11.46876,132.68462
32,ARG,Argentina,Latin America and the Caribbean,862,VEN,Venezuela,Latin America and the Caribbean,Coffee husks & skins,90190,2000,0.03,0.15,,,,,,,0.0825,,
32,ARG,Argentina,Latin America and the Caribbean,76,BRA,Brazil,Latin America and the Caribbean,"Coffee, roasted, decaffeinated",90122,2001,0.648,0.047,,,,,,,0.02585,0.006,
32,ARG,Argentina,Latin America and the Caribbean,76,BRA,Brazil,Latin America and the Caribbean,"Coffee, roasted, not decaffeinated",90121,2001,2.755,0.174,,,,,,,0.095699996,,
32,ARG,Argentina,Latin America and the Caribbean,152,CHL,Chile,Latin America and the Caribbean,"Coffee, not roasted, decaffeinated",90112,2001,0.124,0.008,,,,,,,0.007902136,,
32,ARG,Argentina,Latin America and the Caribbean,152,CHL,Chile,Latin America and the Caribbean,"Coffee, roasted, decaffeinated",90122,2001,0.99993104,0.16668035,,,,,,,0.091674194,0.029542549,0.47661978
32,ARG,Argentina,Latin America and the Caribbean,152,CHL,Chile,Latin America and the Caribbean,"Coffee, roasted, not decaffeinated",90121,2001,24.420574,5.2221794,,,,,,,2.8721988,0.8960244,14.940994
32,ARG,Argentina,Latin America and the Caribbean,196,CYP,Cyprus,Northern Africa and Western Asia,"Coffee, not roasted, not decaffeinated",90111,2001,24.154,19.28,,,,,,,19.044147,4.1130004,55.102005
32,ARG,Argentina,Latin America and the Caribbean,258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),"Coffee, roasted, not decaffeinated",90121,2001,0.225,0.02,,,,,,,0.011,,
32,ARG,Argentina,Latin America and the Caribbean,320,GTM,Guatemala,Latin America and the Caribbean,Coffee husks & skins,90190,2001,0.044,0.021,,,,,,,0.01155,,
32,ARG,Argentina,Latin America and the Caribbean,458,MYS,Malaysia,Eastern and South-Eastern Asia (excl. China),"Coffee, roasted, not decaffeinated",90121,2001,1.567,0.372,,,,,,,0.2046,0.31238464,1.228077
32,ARG,Argentina,Latin America and the Caribbean,480,MUS,Mauritius,Sub-Saharan Africa,Coffee husks & skins,90190,2001,0.117,0.027,,,,,,,0.014850001,,
32,ARG,Argentina,Latin America and the Caribbean,516,NAM,Namibia,Sub-Saharan Africa,"Coffee, not roasted, not decaffeinated",90111,2001,0.259,0.028,,,,,,,0.027657477,,
32,ARG,Argentina,Latin America and the Caribbean,516,NAM,Namibia,Sub-Saharan Africa,"Coffee, roasted, not decaffeinated",90121,2001,0.395,0.075,,,,,,,0.04125,,
32,ARG,Argentina,Latin America and the Caribbean,591,PAN,Panama,Latin America and the Caribbean,"Coffee, roasted, decaffeinated",90122,2001,0.158,0.019,,,,,,,0.01045,,
32,ARG,Argentina,Latin America and the Caribbean,703,SVK,Slovakia,Europe,"Coffee, roasted, not decaffeinated",90121,2001,0.009,0.005,,,,,,,0.00275,0.002,0.015
32,ARG,Argentina,Latin America and the Caribbean,724,ESP,Spain,Europe,"Coffee, roasted, decaffeinated",90122,2001,2.973,0.528,,,,,,,0.2904,0.158,1.6149999
32,ARG,Argentina,Latin America and the Caribbean,842,USA,United States,Northern America,"Coffee, roasted, decaffeinated",90122,2001,18.47,8.791,,,,,,,4.83505,2.2810001,29.019001
32,ARG,Argentina,Latin America and the Caribbean,842,USA,United States,Northern America,"Coffee, roasted, not decaffeinated",90121,2001,39.18288,9.806731,,,,,,,5.3937025,2.544976,32.37181
32,ARG,Argentina,Latin America and the Caribbean,858,URY,Uruguay,Latin America and the Caribbean,"Coffee, not roasted, not decaffeinated",90111,2001,1.995,1.05,,,,,,,1.0371553,0.98499995,0.20799999
32,ARG,Argentina,Latin America and the Caribbean,858,URY,Uruguay,Latin America and the Caribbean,"Coffee, roasted, decaffeinated",90122,2001,4.4494677,0.660979,,,,,,,0.36353844,0.73880666,0.13061225
32,ARG,Argentina,Latin America and the Caribbean,858,URY,Uruguay,Latin America and the Caribbean,"Coffee, roasted, not decaffeinated",90121,2001,264.75348,60.29519,,,,,,,33.162354,67.4145,11.938463
32,ARG,Argentina,Latin America and the Caribbean,862,VEN,Venezuela,Latin America and the Caribbean,Coffee husks & skins,90190,2001,0.028,0.035,,,,,,,0.01925,,
32,ARG,Argentina,Latin America and the Caribbean,68,BOL,Bolivia,Latin America and the Caribbean,Coffee husks & skins,90190,2002,0.471,0.134679,,,,,,,0.074073456,,
32,ARG,Argentina,Latin America and the Caribbean,68,BOL,Bolivia,Latin America and the Caribbean,"Coffee, roasted, not decaffeinated",90121,2002,0.088,0.019417,,,,,,,0.010679349,,
32,ARG,Argentina,Latin America and the Caribbean,152,CHL,Chile,Latin America and the Caribbean,"Coffee, not roasted, not decaffeinated",90111,2002,0.011,0.009,,,,,,,0.008889902,,0.025999999
32,ARG,Argentina,Latin America and the Caribbean,152,CHL,Chile,Latin America and the Caribbean,"Coffee, roasted, decaffeinated",90122,2002,5.245989,1.05575,,,,,,,0.58066255,0.11811589,3.0183873
32,ARG,Argentina,Latin America and the Caribbean,152,CHL,Chile,Latin America and the Caribbean,"Coffee, roasted, not decaffeinated",90121,2002,24.424118,5.7938232,,,,,,,3.1866028,0.651728,16.564589
32,ARG,Argentina,Latin America and the Caribbean,381,ITA,Italy,Europe,"Coffee, not roasted, not decaffeinated",90111,2002,40.632683,25.135,,,,,,,24.827524,0.62,71.836
32,ARG,Argentina,Latin America and the Caribbean,410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),"Coffee, roasted, not decaffeinated",90121,2002,0.109,0.03,,,,,,,0.0165,0.009000001,0.09199999
32,ARG,Argentina,Latin America and the Caribbean,484,MEX,Mexico,Latin America and the Caribbean,"Coffee, roasted, decaffeinated",90122,2002,0.002,0.001,,,,,,,0.00055,,0.003
32,ARG,Argentina,Latin America and the Caribbean,484,MEX,Mexico,Latin America and the Caribbean,"Coffee, roasted, not decaffeinated",90121,2002,1.6826458,0.59247816,,,,,,,0.325863,0.12075346,1.6935673
32,ARG,Argentina,Latin America and the Caribbean,554,NZL,New Zealand,Australia and New Zealand,"Coffee, roasted, not decaffeinated",90121,2002,0.069,0.015,,,,,,,0.00825,0.006,0.003
32,ARG,Argentina,Latin America and the Caribbean,604,PER,Peru,Latin America and the Caribbean,"Coffee, roasted, decaffeinated",90122,2002,0.61705077,0.124,,,,,,,0.0682,0.002,0.025
32,ARG,Argentina,Latin America and the Caribbean,604,PER,Peru,Latin America and the Caribbean,"Coffee, roasted, not decaffeinated",90121,2002,2.3528247,0.513,,,,,,,0.28215,0.009000001,0.102000006
32,ARG,Argentina,Latin America and the Caribbean,842,USA,United States,Northern America,Coffee husks & skins,90190,2002,1.016,0.17,,,,,,,0.0935,,
32,ARG,Argentina,Latin America and the Caribbean,842,USA,United States,Northern America,"Coffee, not roasted, not decaffeinated",90111,2002,2.825,2.206,,,,,,,2.179014,0.273544,6.741536
32,ARG,Argentina,Latin America and the Caribbean,842,USA,United States,Northern America,"Coffee, roasted, decaffeinated",90122,2002,3.464,0.427,,,,,,,0.23485,0.063,1.305
32,ARG,Argentina,Latin America and the Caribbean,842,USA,United States,Northern America,"Coffee, roasted, not decaffeinated",90121,2002,39.850624,8.749674,,,,,,,4.8123207,1.2855264,26.738949
32,ARG,Argentina,Latin America and the Caribbean,858,URY,Uruguay,Latin America and the Caribbean,"Coffee, roasted, decaffeinated",90122,2002,1.1157725,0.21908914,,,,,,,0.12049903,,
32,ARG,Argentina,Latin America and the Caribbean,858,URY,Uruguay,Latin America and the Caribbean,"Coffee, roasted, not decaffeinated",90121,2002,93.054886,27.449257,,,,,,,15.097092,0.042750206,
36,AUS,Australia,Australia and New Zealand,36,AUS,Australia,Australia and New Zealand,Coffee husks & skins,90190,2000,42.988,12,,,,,,,6.6000004,,
36,AUS,Australia,Australia and New Zealand,36,AUS,Australia,Australia and New Zealand,"Coffee, not roasted, not decaffeinated",90111,2000,295.563,147,,,,,,,145.20175,,
36,AUS,Australia,Australia and New Zealand,36,AUS,Australia,Australia and New Zealand,"Coffee, roasted, not decaffeinated",90121,2000,11.904,2.1,,,,,,,1.155,,
36,AUS,Australia,Australia and New Zealand,56,BEL,Belgium,Europe,"Coffee, not roasted, not decaffeinated",90111,2000,9.651341,2.4074175,,,,,,,2.3779676,0.23747537,
36,AUS,Australia,Australia and New Zealand,90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),"Coffee, roasted, not decaffeinated",90121,2000,,,,,3.674,,0.465,,,,
36,AUS,Australia,Australia and New Zealand,96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),"Coffee, not roasted, not decaffeinated",90111,2000,17.387,2.764,,,,,,,2.730188,,
36,AUS,Australia,Australia and New Zealand,116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),Coffee husks & skins,90190,2000,0.124,0.091,,,,,,,0.05005,,
36,AUS,Australia,Australia and New Zealand,124,CAN,Canada,Northern America,Coffee husks & skins,90190,2000,0.067,0.016,,,,,,,0.008800001,,
36,AUS,Australia,Australia and New Zealand,124,CAN,Canada,Northern America,"Coffee, not roasted, not decaffeinated",90111,2000,12.010635,7.41638,,,,,,,7.325655,13.064204,121.42108
36,AUS,Australia,Australia and New Zealand,124,CAN,Canada,Northern America,"Coffee, roasted, not decaffeinated",90121,2000,0.327,0.077,,,,,,,0.04235,0.164,1.2609999
36,AUS,Australia,Australia and New Zealand,144,LKA,Sri Lanka,Central and Southern Asia,"Coffee, not roasted, not decaffeinated",90111,2000,2.194,0.132,,,,,,,0.13038523,,
36,AUS,Australia,Australia and New Zealand,144,LKA,Sri Lanka,Central and Southern Asia,"Coffee, roasted, not decaffeinated",90121,2000,1.757,0.141,,,,,,,0.07755,0.178,0.462
36,AUS,Australia,Australia and New Zealand,156,CHN,China,China,Coffee husks & skins,90190,2000,8.627,3.022,,,,,,,1.6621001,,
36,AUS,Australia,Australia and New Zealand,156,CHN,China,China,"Coffee, not roasted, decaffeinated",90112,2000,0.506,0.165,,,,,,,0.16298155,0.09800001,0.07000001
36,AUS,Australia,Australia and New Zealand,156,CHN,China,China,"Coffee, not roasted, not decaffeinated",90111,2000,2.4371653,0.60162205,,,,,,,0.59426236,0.35790446,0.25477943
36,AUS,Australia,Australia and New Zealand,156,CHN,China,China,"Coffee, roasted, decaffeinated",90122,2000,31.208458,7.6331363,,,,,,,4.198225,5.423461,3.2291687
36,AUS,Australia,Australia and New Zealand,156,CHN,China,China,"Coffee, roasted, not decaffeinated",90121,2000,11.895463,3.8795238,,,,,,,2.133738,2.7566326,1.6412551
36,AUS,Australia,Australia and New Zealand,196,CYP,Cyprus,Northern Africa and Western Asia,"Coffee, not roasted, decaffeinated",90112,2000,0.416,0.06,,,,,,,0.059266016,0.04,0.555
36,AUS,Australia,Australia and New Zealand,203,CZE,Czech Republic,Europe,"Coffee, not roasted, not decaffeinated",90111,2000,0.228,0.02,,,,,,,0.01975534,,
36,AUS,Australia,Australia and New Zealand,222,SLV,El Salvador,Latin America and the Caribbean,"Coffee, roasted, not decaffeinated",90121,2000,0.01476,0.00041,,,,,,,0.0002255,,
36,AUS,Australia,Australia and New Zealand,242,FJI,Fiji,Oceania (excl. Australia and New Zealand),Coffee husks & skins,90190,2000,1.786,0.3,,,,,,,0.165,,
36,AUS,Australia,Australia and New Zealand,242,FJI,Fiji,Oceania (excl. Australia and New Zealand),"Coffee, not roasted, not decaffeinated",90111,2000,1.769,0.16,,,,,,,0.15804271,,
36,AUS,Australia,Australia and New Zealand,242,FJI,Fiji,Oceania (excl. Australia and New Zealand),"Coffee, roasted, not decaffeinated",90121,2000,12.418,2.242,,,,,,,1.2331,,
36,AUS,Australia,Australia and New Zealand,251,FRA,France,Europe,"Coffee, not roasted, not decaffeinated",90111,2000,7.161,1,,,,,,,0.987767,,
